date,time,flavor
2021-01-01,09:01:00,Espresso
2021-01-01,09:01:00,Latte
2021-01-01,09:03:00,Cappuccino
2021-01-01,09:04:00,Latte
2021-01-01,09:07:00,Latte
2021-01-01,09:07:00,Cappuccino
2021-01-01,09:08:00,Cappuccino
2021-01-01,09:08:00,Espresso
2021-01-01,09:10:00,Espresso
2021-01-01,09:11:00,Latte
2021-01-01,09:11:00,Espresso
2021-01-01,09:12:00,Cappuccino
2021-01-01,09:13:00,Espresso
2021-01-01,09:15:00,Cappuccino
2021-01-01,09:15:00,Latte
2021-01-01,09:16:00,Cappuccino
2021-01-01,09:17:00,Cappuccino
2021-01-01,09:18:00,Cappuccino
2021-01-01,09:19:00,Cappuccino
2021-01-01,09:20:00,Latte
2021-01-01,09:20:00,Latte
2021-01-01,09:20:00,Cappuccino
2021-01-01,09:20:00,Latte
2021-01-01,09:21:00,Cappuccino
2021-01-01,09:21:00,Espresso
2021-01-01,09:22:00,Latte
2021-01-01,09:22:00,Latte
2021-01-01,09:22:00,Cappuccino
2021-01-01,09:23:00,Latte
2021-01-01,09:24:00,Cappuccino
2021-01-01,09:25:00,Espresso
2021-01-01,09:25:00,Latte
2021-01-01,09:25:00,Cappuccino
2021-01-01,09:25:00,Cappuccino
2021-01-01,09:26:00,Latte
2021-01-01,09:26:00,Latte
2021-01-01,09:27:00,Latte
2021-01-01,09:28:00,Cappuccino
2021-01-01,09:30:00,Latte
2021-01-01,09:32:00,Espresso
2021-01-01,09:32:00,Cappuccino
2021-01-01,09:32:00,Latte
2021-01-01,09:35:00,Latte
2021-01-01,09:37:00,Cappuccino
2021-01-01,09:37:00,Latte
2021-01-01,09:39:00,Espresso
2021-01-01,09:39:00,Latte
2021-01-01,09:40:00,Espresso
2021-01-01,09:40:00,Espresso
2021-01-01,09:40:00,Latte
2021-01-01,09:41:00,Cappuccino
2021-01-01,09:42:00,Espresso
2021-01-01,09:42:00,Latte
2021-01-01,09:43:00,Cappuccino
2021-01-01,09:44:00,Latte
2021-01-01,09:44:00,Cappuccino
2021-01-01,09:45:00,Espresso
2021-01-01,09:46:00,Espresso
2021-01-01,09:47:00,Cappuccino
2021-01-01,09:47:00,Latte
2021-01-01,09:48:00,Latte
2021-01-01,09:48:00,Latte
2021-01-01,09:48:00,Latte
2021-01-01,09:50:00,Cappuccino
2021-01-01,09:51:00,Latte
2021-01-01,09:53:00,Latte
2021-01-01,09:54:00,Cappuccino
2021-01-01,09:54:00,Latte
2021-01-01,09:54:00,Cappuccino
2021-01-01,09:54:00,Cappuccino
2021-01-01,09:54:00,Latte
2021-01-01,09:56:00,Cappuccino
2021-01-01,09:57:00,Espresso
2021-01-01,09:58:00,Espresso
2021-01-01,09:59:00,Latte
2021-01-01,10:00:00,Cappuccino
2021-01-01,10:00:00,Espresso
2021-01-01,10:02:00,Espresso
2021-01-01,10:02:00,Cappuccino
2021-01-01,10:03:00,Cappuccino
2021-01-01,10:03:00,Espresso
2021-01-01,10:04:00,Cappuccino
2021-01-01,10:04:00,Latte
2021-01-01,10:04:00,Cappuccino
2021-01-01,10:04:00,Latte
2021-01-01,10:06:00,Cappuccino
2021-01-01,10:09:00,Latte
2021-01-01,10:11:00,Cappuccino
2021-01-01,10:12:00,Cappuccino
2021-01-01,10:13:00,Espresso
2021-01-01,10:14:00,Espresso
2021-01-01,10:15:00,Cappuccino
2021-01-01,10:16:00,Cappuccino
2021-01-01,10:16:00,Espresso
2021-01-01,10:18:00,Espresso
2021-01-01,10:18:00,Espresso
2021-01-01,10:18:00,Espresso
2021-01-01,10:19:00,Cappuccino
2021-01-01,10:20:00,Latte
2021-01-01,10:22:00,Cappuccino
2021-01-01,10:24:00,Latte
2021-01-01,10:25:00,Latte
2021-01-01,10:26:00,Cappuccino
