date,time,total_count,today_count,tank_beans,tank_water,tank_milk,barometer,thermometer
2021-01-01,09:00:00,100,0,500,1600,950,15.0,95.0
2021-01-01,09:01:00,101,1,484,1350,950,14.9,94.9
2021-01-01,09:02:00,101,1,484,1350,950,15.0,100.0
2021-01-01,09:03:00,102,2,472,1150,850,14.9,99.9
2021-01-01,09:04:00,103,3,452,800,775,15.0,99.80000000000001
2021-01-01,09:05:00,103,3,452,1300,775,15.0,100.0
2021-01-01,09:06:00,103,3,452,1300,775,15.0,100.0
2021-01-01,09:07:00,104,4,432,950,700,14.9,99.9
2021-01-01,09:08:00,105,5,420,1450,600,15.0,100.0
2021-01-01,09:09:00,105,5,420,1450,600,15.0,100.0
2021-01-01,09:10:00,106,6,404,1200,600,14.9,99.9
2021-01-01,09:11:00,107,7,384,850,525,15.0,99.80000000000001
2021-01-01,09:12:00,108,8,372,1350,425,14.9,100.0
2021-01-01,09:13:00,109,9,356,1100,425,15.0,99.9
2021-01-01,09:14:00,109,9,356,1100,425,15.0,99.9
2021-01-01,09:15:00,110,10,344,900,325,14.9,99.80000000000001
2021-01-01,09:16:00,111,11,332,1400,225,15.0,100.0
2021-01-01,09:17:00,112,12,320,1200,1175,14.9,99.9
2021-01-01,09:18:00,113,13,308,1000,1075,15.0,99.80000000000001
2021-01-01,09:19:00,114,14,296,1500,975,14.9,100.0
2021-01-01,09:20:00,115,15,276,1150,900,15.0,99.9
2021-01-01,09:21:00,116,16,264,950,800,14.9,99.80000000000001
2021-01-01,09:22:00,117,17,244,1450,725,15.0,100.0
2021-01-01,09:23:00,118,18,224,1100,650,14.9,99.9
2021-01-01,09:24:00,119,19,212,900,550,15.0,99.80000000000001
2021-01-01,09:25:00,120,20,196,1400,550,14.9,100.0
2021-01-01,09:26:00,121,21,650,1050,475,15.0,99.9
2021-01-01,09:27:00,122,22,630,1550,400,14.9,100.0
2021-01-01,09:28:00,123,23,618,1350,300,15.0,99.9
2021-01-01,09:29:00,123,23,618,1350,300,15.0,99.9
2021-01-01,09:30:00,124,24,598,1000,225,14.9,99.80000000000001
2021-01-01,09:31:00,124,24,598,1500,1175,15.0,100.0
2021-01-01,09:32:00,125,25,582,1250,1175,14.9,99.9
2021-01-01,09:33:00,125,25,582,1250,1175,15.0,99.9
2021-01-01,09:34:00,125,25,582,1250,1175,15.0,99.9
2021-01-01,09:35:00,126,26,562,900,1100,14.9,99.80000000000001
2021-01-01,09:36:00,126,26,562,1400,1100,15.0,100.0
2021-01-01,09:37:00,127,27,550,1200,1000,14.9,99.9
2021-01-01,09:38:00,127,27,550,1200,1000,15.0,99.9
2021-01-01,09:39:00,128,28,534,950,1000,14.9,99.80000000000001
2021-01-01,09:40:00,129,29,518,1450,1000,15.0,100.0
2021-01-01,09:41:00,130,30,506,1250,900,14.9,99.9
2021-01-01,09:42:00,131,31,490,1000,900,15.0,99.80000000000001
2021-01-01,09:43:00,132,32,478,1500,800,14.9,100.0
2021-01-01,09:44:00,133,33,458,1150,725,15.0,99.9
2021-01-01,09:45:00,134,34,442,900,725,14.9,99.80000000000001
2021-01-01,09:46:00,135,35,426,1400,725,15.0,100.0
2021-01-01,09:47:00,136,36,414,1200,625,14.9,99.9
2021-01-01,09:48:00,137,37,394,850,550,15.0,99.80000000000001
2021-01-01,09:49:00,137,37,394,1350,550,15.0,100.0
2021-01-01,09:50:00,138,38,382,1150,450,14.9,99.9
2021-01-01,09:51:00,139,39,362,800,375,15.0,99.80000000000001
2021-01-01,09:52:00,139,39,362,1300,375,15.0,100.0
2021-01-01,09:53:00,140,40,342,950,300,14.9,99.9
2021-01-01,09:54:00,141,41,330,1450,200,15.0,100.0
2021-01-01,09:55:00,141,41,330,1450,1150,15.0,100.0
2021-01-01,09:56:00,142,42,318,1250,1050,14.9,99.9
2021-01-01,09:57:00,143,43,302,1000,1050,15.0,99.80000000000001
2021-01-01,09:58:00,144,44,286,1500,1050,14.9,100.0
2021-01-01,09:59:00,145,45,266,1150,975,15.0,99.9
2021-01-01,10:00:00,146,46,254,950,875,14.9,99.80000000000001
2021-01-01,10:01:00,146,46,254,1450,875,15.0,100.0
2021-01-01,10:02:00,147,47,238,1200,875,14.9,99.9
2021-01-01,10:03:00,148,48,226,1000,775,15.0,99.80000000000001
2021-01-01,10:04:00,149,49,214,1500,675,14.9,100.0
2021-01-01,10:05:00,149,49,214,1500,675,15.0,100.0
2021-01-01,10:06:00,150,50,202,1300,575,14.9,99.9
2021-01-01,10:07:00,150,50,202,1300,575,15.0,99.9
2021-01-01,10:08:00,150,50,202,1300,575,15.0,99.9
2021-01-01,10:09:00,151,51,182,950,500,14.9,99.80000000000001
2021-01-01,10:10:00,151,51,636,1450,500,15.0,100.0
2021-01-01,10:11:00,152,52,624,1250,400,14.9,99.9
2021-01-01,10:12:00,153,53,612,1050,300,15.0,99.80000000000001
2021-01-01,10:13:00,154,54,596,1550,300,14.9,100.0
2021-01-01,10:14:00,155,55,580,1300,300,15.0,99.9
2021-01-01,10:15:00,156,56,568,1100,200,14.9,99.80000000000001
2021-01-01,10:16:00,157,57,556,900,1150,15.0,99.70000000000002
2021-01-01,10:17:00,157,57,556,1400,1150,15.0,100.0
2021-01-01,10:18:00,158,58,540,1150,1150,14.9,99.9
2021-01-01,10:19:00,159,59,528,950,1050,15.0,99.80000000000001
2021-01-01,10:20:00,160,60,508,1450,975,14.9,100.0
2021-01-01,10:21:00,160,60,508,1450,975,15.0,100.0
2021-01-01,10:22:00,161,61,496,1250,875,14.9,99.9
2021-01-01,10:23:00,161,61,496,1250,875,15.0,99.9
2021-01-01,10:24:00,162,62,476,900,800,14.9,99.80000000000001
2021-01-01,10:25:00,163,63,456,1400,725,15.0,100.0
2021-01-01,10:26:00,164,64,444,1200,625,14.9,99.9
2021-01-01,10:27:00,165,65,428,950,625,15.0,99.80000000000001
2021-01-01,10:28:00,166,66,412,1450,625,14.9,100.0
2021-01-01,10:29:00,167,67,400,1250,525,15.0,99.9
2021-01-01,10:30:00,168,68,384,1000,525,14.9,99.80000000000001
2021-01-01,10:31:00,168,68,384,1500,525,15.0,100.0
2021-01-01,10:32:00,168,68,384,1500,525,15.0,100.0
2021-01-01,10:33:00,169,69,368,1250,525,14.9,99.9
2021-01-01,10:34:00,170,70,348,900,450,15.0,99.80000000000001
2021-01-01,10:35:00,171,71,328,1400,375,14.9,100.0
2021-01-01,10:36:00,172,72,312,1150,375,15.0,99.9
2021-01-01,10:37:00,173,73,300,950,275,14.9,99.80000000000001
2021-01-01,10:38:00,174,74,284,1450,275,15.0,100.0
2021-01-01,10:39:00,175,75,264,1100,200,14.9,99.9
2021-01-01,10:40:00,176,76,252,900,1150,15.0,99.80000000000001
2021-01-01,10:41:00,177,77,240,1400,1050,14.9,100.0
2021-01-01,10:42:00,178,78,224,1150,1050,15.0,99.9
2021-01-01,10:43:00,179,79,208,900,1050,14.9,99.80000000000001
2021-01-01,10:44:00,180,80,196,1400,950,15.0,100.0
2021-01-01,10:45:00,181,81,650,1050,875,14.9,99.9
2021-01-01,10:46:00,182,82,634,1550,875,15.0,100.0
2021-01-01,10:47:00,182,82,634,1550,875,15.0,100.0
2021-01-01,10:48:00,183,83,618,1300,875,14.9,99.9
2021-01-01,10:49:00,184,84,606,1100,775,15.0,99.80000000000001
