date,time,flavor
2021-01-01,09:00:00,Espresso
2021-01-01,09:00:00,Cappuccino
2021-01-01,09:04:00,Espresso
2021-01-01,09:06:00,Espresso
2021-01-01,09:07:00,Cappuccino
2021-01-01,09:09:00,Latte
2021-01-01,09:13:00,Cappuccino
2021-01-01,09:13:00,Espresso
2021-01-01,09:14:00,Espresso
2021-01-01,09:14:00,Cappuccino
2021-01-01,09:14:00,Espresso
2021-01-01,09:16:00,Latte
2021-01-01,09:16:00,Cappuccino
2021-01-01,09:17:00,Latte
2021-01-01,09:17:00,Cappuccino
2021-01-01,09:17:00,Cappuccino
2021-01-01,09:18:00,Latte
2021-01-01,09:18:00,Latte
2021-01-01,09:19:00,Latte
2021-01-01,09:19:00,Espresso
2021-01-01,09:20:00,Espresso
2021-01-01,09:21:00,Latte
2021-01-01,09:21:00,Latte
2021-01-01,09:23:00,Cappuccino
2021-01-01,09:25:00,Cappuccino
2021-01-01,09:25:00,Espresso
2021-01-01,09:26:00,Espresso
2021-01-01,09:26:00,Espresso
2021-01-01,09:27:00,Cappuccino
2021-01-01,09:28:00,Cappuccino
2021-01-01,09:28:00,Latte
2021-01-01,09:29:00,Espresso
2021-01-01,09:31:00,Cappuccino
2021-01-01,09:31:00,Latte
2021-01-01,09:31:00,Espresso
2021-01-01,09:32:00,Espresso
2021-01-01,09:32:00,Cappuccino
2021-01-01,09:33:00,Cappuccino
2021-01-01,09:33:00,Cappuccino
2021-01-01,09:33:00,Espresso
2021-01-01,09:34:00,Cappuccino
2021-01-01,09:34:00,Cappuccino
2021-01-01,09:35:00,Espresso
2021-01-01,09:35:00,Cappuccino
2021-01-01,09:35:00,Espresso
2021-01-01,09:36:00,Cappuccino
2021-01-01,09:36:00,Cappuccino
2021-01-01,09:36:00,Cappuccino
2021-01-01,09:36:00,Cappuccino
2021-01-01,09:38:00,Cappuccino
2021-01-01,09:38:00,Cappuccino
2021-01-01,09:38:00,Espresso
2021-01-01,09:39:00,Espresso
2021-01-01,09:40:00,Cappuccino
2021-01-01,09:40:00,Cappuccino
2021-01-01,09:41:00,Espresso
2021-01-01,09:42:00,Latte
2021-01-01,09:42:00,Cappuccino
2021-01-01,09:42:00,Latte
2021-01-01,09:42:00,Espresso
2021-01-01,09:43:00,Espresso
2021-01-01,09:43:00,Espresso
2021-01-01,09:44:00,Cappuccino
2021-01-01,09:44:00,Cappuccino
2021-01-01,09:45:00,Latte
2021-01-01,09:45:00,Espresso
2021-01-01,09:46:00,Cappuccino
2021-01-01,09:47:00,Cappuccino
2021-01-01,09:48:00,Cappuccino
2021-01-01,09:48:00,Latte
2021-01-01,09:49:00,Cappuccino
2021-01-01,09:49:00,Cappuccino
2021-01-01,09:49:00,Cappuccino
2021-01-01,09:50:00,Cappuccino
2021-01-01,09:50:00,Cappuccino
2021-01-01,09:51:00,Cappuccino
2021-01-01,09:51:00,Espresso
2021-01-01,09:51:00,Espresso
2021-01-01,09:52:00,Cappuccino
2021-01-01,09:53:00,Espresso
2021-01-01,09:55:00,Cappuccino
2021-01-01,09:55:00,Espresso
2021-01-01,09:56:00,Espresso
2021-01-01,09:58:00,Cappuccino
2021-01-01,09:58:00,Cappuccino
2021-01-01,10:02:00,Latte
2021-01-01,10:03:00,Espresso
2021-01-01,10:03:00,Espresso
2021-01-01,10:03:00,Latte
2021-01-01,10:04:00,Latte
2021-01-01,10:04:00,Latte
2021-01-01,10:04:00,Cappuccino
2021-01-01,10:05:00,Espresso
2021-01-01,10:06:00,Cappuccino
2021-01-01,10:08:00,Latte
2021-01-01,10:09:00,Espresso
2021-01-01,10:10:00,Cappuccino
2021-01-01,10:12:00,Cappuccino
2021-01-01,10:13:00,Latte
2021-01-01,10:13:00,Espresso
2021-01-01,10:14:00,Espresso
2021-01-01,10:14:00,Cappuccino
2021-01-01,10:15:00,Cappuccino
2021-01-01,10:16:00,Latte
2021-01-01,10:17:00,Cappuccino
2021-01-01,10:17:00,Latte
2021-01-01,10:17:00,Cappuccino
2021-01-01,10:18:00,Cappuccino
2021-01-01,10:19:00,Espresso
2021-01-01,10:19:00,Latte
2021-01-01,10:20:00,Latte
2021-01-01,10:20:00,Cappuccino
2021-01-01,10:21:00,Cappuccino
2021-01-01,10:22:00,Espresso
2021-01-01,10:23:00,Latte
2021-01-01,10:23:00,Espresso
2021-01-01,10:23:00,Latte
2021-01-01,10:23:00,Cappuccino
2021-01-01,10:24:00,Latte
2021-01-01,10:26:00,Latte
2021-01-01,10:27:00,Cappuccino
2021-01-01,10:28:00,Espresso
2021-01-01,10:28:00,Latte
2021-01-01,10:28:00,Latte
2021-01-01,10:29:00,Cappuccino
2021-01-01,10:29:00,Espresso
2021-01-01,10:29:00,Latte
2021-01-01,10:35:00,Espresso
2021-01-01,10:37:00,Latte
2021-01-01,10:38:00,Espresso
2021-01-01,10:38:00,Espresso
2021-01-01,10:39:00,Cappuccino
2021-01-01,10:39:00,Latte
2021-01-01,10:40:00,Latte
2021-01-01,10:41:00,Latte
2021-01-01,10:41:00,Espresso
2021-01-01,10:41:00,Espresso
2021-01-01,10:42:00,Espresso
2021-01-01,10:42:00,Latte
2021-01-01,10:43:00,Latte
2021-01-01,10:44:00,Latte
2021-01-01,10:45:00,Latte
2021-01-01,10:45:00,Latte
2021-01-01,10:49:00,Cappuccino
2021-01-01,10:49:00,Espresso
