date,time,total_count,today_count,tank_beans,tank_water,tank_milk,barometer,thermometer
2021-01-01,09:00:00,100,0,500,1600,950,15.0,95.0
2021-01-01,09:01:00,100,0,500,1600,950,15.0,95.0
2021-01-01,09:02:00,101,1,488,1400,850,14.9,94.9
2021-01-01,09:03:00,102,2,468,1050,775,15.0,100.0
2021-01-01,09:04:00,103,3,448,1550,700,14.9,100.0
2021-01-01,09:05:00,103,3,448,1550,700,15.0,100.0
2021-01-01,09:06:00,103,3,448,1550,700,15.0,100.0
2021-01-01,09:07:00,103,3,448,1550,700,15.0,100.0
2021-01-01,09:08:00,103,3,448,1550,700,15.0,100.0
2021-01-01,09:09:00,103,3,448,1550,700,15.0,100.0
2021-01-01,09:10:00,103,3,448,1550,700,15.0,100.0
2021-01-01,09:11:00,103,3,448,1550,700,15.0,100.0
2021-01-01,09:12:00,104,4,436,1350,600,14.9,99.9
2021-01-01,09:13:00,104,4,436,1350,600,15.0,99.9
2021-01-01,09:14:00,105,5,416,1000,525,14.9,99.80000000000001
2021-01-01,09:15:00,105,5,416,1500,525,15.0,100.0
2021-01-01,09:16:00,105,5,416,1500,525,15.0,100.0
2021-01-01,09:17:00,105,5,416,1500,525,15.0,100.0
2021-01-01,09:18:00,106,6,396,1150,450,14.9,99.9
2021-01-01,09:19:00,106,6,396,1150,450,15.0,99.9
2021-01-01,09:20:00,107,7,376,800,375,14.9,99.80000000000001
2021-01-01,09:21:00,107,7,376,1300,375,15.0,100.0
2021-01-01,09:22:00,108,8,356,950,300,14.9,99.9
2021-01-01,09:23:00,109,9,336,1450,225,15.0,100.0
2021-01-01,09:24:00,110,10,320,1200,1175,14.9,99.9
2021-01-01,09:25:00,111,11,308,1000,1075,15.0,99.80000000000001
2021-01-01,09:26:00,112,12,288,1500,1000,14.9,100.0
2021-01-01,09:27:00,112,12,288,1500,1000,15.0,100.0
2021-01-01,09:28:00,113,13,276,1300,900,14.9,99.9
2021-01-01,09:29:00,114,14,264,1100,800,15.0,99.80000000000001
2021-01-01,09:30:00,114,14,264,1100,800,15.0,99.80000000000001
2021-01-01,09:31:00,114,14,264,1100,800,15.0,99.80000000000001
2021-01-01,09:32:00,114,14,264,1100,800,15.0,99.80000000000001
2021-01-01,09:33:00,114,14,264,1100,800,15.0,99.80000000000001
2021-01-01,09:34:00,115,15,252,900,700,14.9,99.70000000000002
2021-01-01,09:35:00,115,15,252,1400,700,15.0,100.0
2021-01-01,09:36:00,116,16,240,1200,600,14.9,99.9
2021-01-01,09:37:00,117,17,220,850,525,15.0,99.80000000000001
2021-01-01,09:38:00,117,17,220,1350,525,15.0,100.0
2021-01-01,09:39:00,118,18,208,1150,425,14.9,99.9
2021-01-01,09:40:00,119,19,192,900,425,15.0,99.80000000000001
2021-01-01,09:41:00,120,20,646,1400,325,14.9,100.0
2021-01-01,09:42:00,120,20,646,1400,325,15.0,100.0
2021-01-01,09:43:00,120,20,646,1400,325,15.0,100.0
2021-01-01,09:44:00,120,20,646,1400,325,15.0,100.0
2021-01-01,09:45:00,120,20,646,1400,325,15.0,100.0
2021-01-01,09:46:00,121,21,630,1150,325,14.9,99.9
2021-01-01,09:47:00,121,21,630,1150,325,15.0,99.9
2021-01-01,09:48:00,122,22,618,950,225,14.9,99.80000000000001
2021-01-01,09:49:00,123,23,606,1450,1175,15.0,100.0
2021-01-01,09:50:00,123,23,606,1450,1175,15.0,100.0
2021-01-01,09:51:00,123,23,606,1450,1175,15.0,100.0
2021-01-01,09:52:00,124,24,590,1200,1175,14.9,99.9
2021-01-01,09:53:00,125,25,570,850,1100,15.0,99.80000000000001
2021-01-01,09:54:00,125,25,570,1350,1100,15.0,100.0
2021-01-01,09:55:00,126,26,558,1150,1000,14.9,99.9
2021-01-01,09:56:00,126,26,558,1150,1000,15.0,99.9
2021-01-01,09:57:00,127,27,538,800,925,14.9,99.80000000000001
2021-01-01,09:58:00,128,28,526,1300,825,15.0,100.0
2021-01-01,09:59:00,128,28,526,1300,825,15.0,100.0
2021-01-01,10:00:00,128,28,526,1300,825,15.0,100.0
2021-01-01,10:01:00,129,29,506,950,750,14.9,99.9
2021-01-01,10:02:00,130,30,494,1450,650,15.0,100.0
2021-01-01,10:03:00,131,31,482,1250,550,14.9,99.9
2021-01-01,10:04:00,132,32,470,1050,450,15.0,99.80000000000001
2021-01-01,10:05:00,133,33,450,1550,375,14.9,100.0
2021-01-01,10:06:00,133,33,450,1550,375,15.0,100.0
2021-01-01,10:07:00,134,34,434,1300,375,14.9,99.9
2021-01-01,10:08:00,135,35,422,1100,275,15.0,99.80000000000001
2021-01-01,10:09:00,135,35,422,1100,275,15.0,99.80000000000001
2021-01-01,10:10:00,136,36,410,900,175,14.9,99.70000000000002
2021-01-01,10:11:00,137,37,390,1400,1125,15.0,100.0
2021-01-01,10:12:00,137,37,390,1400,1125,15.0,100.0
2021-01-01,10:13:00,138,38,370,1050,1050,14.9,99.9
2021-01-01,10:14:00,139,39,358,1550,950,15.0,100.0
2021-01-01,10:15:00,140,40,346,1350,850,14.9,99.9
2021-01-01,10:16:00,140,40,346,1350,850,15.0,99.9
